MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,HouseAge
20,RL,70.0,11200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,Hip,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1040,GasA,Ex,Y,SBrkr,1040,1,0,1,0,3,1,TA,Typ,0,,Detchd,Unf,1,TA,TA,Y,0,0,0,0,0,0,,,,0,2,WD,Normal,129500,43
60,RL,85.0,11924,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1175,GasA,Ex,Y,SBrkr,2324,1,0,3,0,4,1,Ex,Typ,2,Gd,BuiltIn,Fin,3,TA,TA,Y,147,21,0,0,0,0,,,,0,7,New,Partial,345000,1
20,RL,,12968,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,Hip,CompShg,HdBoard,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,912,GasA,TA,Y,SBrkr,912,1,0,1,0,2,1,TA,Typ,0,,Detchd,Unf,1,TA,TA,Y,140,0,0,0,176,0,,,,0,9,WD,Normal,144000,46
20,RL,91.0,10652,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,1494,GasA,Ex,Y,SBrkr,1494,0,0,2,0,3,1,Gd,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,160,33,0,0,0,0,,,,0,8,New,Partial,279500,1
20,RL,,10920,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,1253,GasA,TA,Y,SBrkr,1253,1,0,1,1,2,1,TA,Typ,1,Fa,Attchd,RFn,1,TA,TA,Y,0,213,176,0,0,0,,GdWo,,0,5,WD,Normal,157000,48
45,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,2001,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,832,GasA,Ex,Y,FuseA,854,0,0,1,0,2,1,TA,Typ,0,,Detchd,Unf,2,TA,TA,Y,48,112,0,0,0,0,,GdPrv,,0,7,WD,Normal,132000,78
20,RL,,11241,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,1004,GasA,Ex,Y,SBrkr,1004,1,0,1,0,2,1,TA,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,0,0,0,0,0,0,,,Shed,700,3,WD,Normal,149000,40
90,RL,72.0,10791,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,Slab,,,,,,0,GasA,TA,Y,SBrkr,1296,0,0,2,0,2,2,TA,Typ,0,,CarPort,Unf,2,TA,TA,Y,0,0,0,0,0,0,,,Shed,500,10,WD,Normal,90000,39
20,RL,66.0,13695,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,TA,TA,No,GLQ,Unf,1114,GasA,Ex,Y,SBrkr,1114,1,0,1,1,3,1,Gd,Typ,0,,Detchd,Unf,2,TA,TA,Y,0,102,0,0,0,0,,,,0,6,WD,Normal,159000,4
20,RL,70.0,7560,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1965,Hip,CompShg,BrkFace,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,1029,GasA,TA,Y,SBrkr,1339,0,0,1,0,3,1,TA,Min1,0,,Attchd,Unf,1,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,5,COD,Abnorml,139000,51
60,RL,101.0,14215,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1158,GasA,Ex,Y,SBrkr,2376,0,0,3,1,4,1,Gd,Typ,1,Gd,BuiltIn,RFn,3,TA,TA,Y,240,154,0,0,0,0,,,,0,11,New,Partial,325300,1
45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,637,GasA,Ex,Y,FuseF,1108,0,0,1,0,3,1,Gd,Typ,1,Gd,Attchd,Unf,1,TA,TA,N,0,0,205,0,0,0,,GdPrv,,0,6,WD,Normal,139400,77
20,RL,75.0,9742,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1777,GasA,Ex,Y,SBrkr,1795,0,0,2,0,3,1,Gd,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,171,159,0,0,0,0,,,,0,9,WD,Normal,230000,6
120,RM,44.0,4224,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,Gable,CompShg,CemntBd,CmentBd,,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,1040,GasA,TA,Y,SBrkr,1060,1,0,1,0,3,1,TA,Typ,1,TA,Attchd,Unf,2,TA,TA,Y,100,110,0,0,0,0,,,,0,6,WD,Normal,129900,31
20,RL,,8246,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,2001,Gable,CompShg,Plywood,Plywood,,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,1060,GasA,Ex,Y,SBrkr,1060,1,0,1,0,3,1,Gd,Typ,1,TA,Attchd,Unf,1,TA,TA,Y,406,90,0,0,0,0,,MnPrv,,0,5,WD,Normal,154000,42
20,RL,110.0,14230,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1566,GasA,Ex,Y,SBrkr,1600,0,0,2,0,3,1,Gd,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,0,56,0,0,0,0,,,,0,7,WD,Normal,256300,2
20,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,2000,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,900,GasA,TA,Y,SBrkr,900,0,1,1,0,3,1,Gd,Typ,0,,Detchd,Unf,2,TA,TA,Y,222,32,0,0,0,0,,,,0,5,WD,Normal,134800,59
20,RL,98.0,11478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1704,GasA,Ex,Y,SBrkr,1704,1,0,2,0,3,1,Gd,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,0,50,0,0,0,0,,,,0,5,WD,Normal,306000,3
20,RL,47.0,16321,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1997,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,1484,GasA,TA,Y,SBrkr,1600,1,0,1,0,2,1,TA,Typ,2,Gd,Attchd,RFn,1,TA,TA,Y,288,258,0,0,0,0,,,,0,12,WD,Normal,207500,49
30,RM,60.0,6324,Pave,,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,520,GasA,Fa,N,SBrkr,520,0,0,1,0,1,1,Fa,Typ,0,,Detchd,Unf,1,Fa,TA,Y,49,0,87,0,0,0,,,,0,5,WD,Normal,68500,81
70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1950,Gambrel,CompShg,BrkFace,BrkFace,,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,649,GasA,TA,N,SBrkr,1317,0,0,1,0,3,1,TA,Typ,0,,Detchd,Unf,1,TA,Fa,N,0,54,172,0,0,0,,MnPrv,,0,7,WD,Normal,40000,88
20,RL,,8544,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,2006,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1228,GasA,Gd,Y,SBrkr,1228,0,0,1,1,3,1,Gd,Typ,0,,Attchd,Unf,1,TA,TA,Y,0,65,0,0,0,0,,MnPrv,,0,6,WD,Normal,149350,42
20,RL,85.0,11049,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1234,GasA,Ex,Y,SBrkr,1234,0,0,2,0,3,1,Gd,Typ,0,,Attchd,RFn,2,TA,TA,Y,0,30,0,0,0,0,,,,0,1,WD,Normal,179900,1
20,RL,70.0,10552,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,Hip,CompShg,BrkFace,BrkFace,,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1398,GasA,Gd,Y,SBrkr,1700,0,1,1,1,4,1,Gd,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,0,38,0,0,0,0,,,,0,4,WD,Normal,165500,51
120,RL,60.0,7313,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1561,GasA,Ex,Y,SBrkr,1561,1,0,2,0,2,1,Ex,Typ,1,Gd,Attchd,Fin,2,TA,TA,Y,203,47,0,0,0,0,,,,0,8,WD,Normal,277500,2
60,RL,108.0,13418,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1117,GasA,Ex,Y,SBrkr,2452,0,0,3,1,4,1,Gd,Typ,1,Gd,BuiltIn,Fin,3,TA,TA,Y,113,32,0,0,0,0,,,,0,9,WD,Normal,309000,2
20,RL,112.0,10859,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,1097,GasA,Ex,Y,SBrkr,1097,0,0,1,1,3,1,TA,Typ,0,,Attchd,Unf,2,TA,TA,Y,392,64,0,0,0,0,,,,0,6,WD,Normal,145000,15
20,RL,74.0,8532,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1297,GasA,Gd,Y,SBrkr,1297,0,1,1,0,3,1,TA,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,0,0,0,0,0,0,,,,0,10,WD,Normal,153000,55
20,RL,68.0,7922,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,1057,GasA,TA,Y,SBrkr,1057,1,0,1,0,3,1,Gd,Typ,0,,Detchd,Unf,1,TA,TA,Y,0,52,0,0,0,0,,,,0,1,WD,Abnorml,109000,57
90,RL,65.0,6040,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,Gable,CompShg,AsbShng,Plywood,,0.0,TA,TA,PConc,,,,,,0,GasA,TA,N,FuseP,1152,0,0,2,0,2,2,Fa,Typ,0,,,,0,,,N,0,0,0,0,0,0,,,,0,6,WD,AdjLand,82000,53
20,RL,84.0,8658,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1088,GasA,Ex,Y,SBrkr,1324,0,0,2,0,3,1,TA,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,0,138,0,0,0,0,,GdWo,,0,12,WD,Abnorml,160000,41
20,RL,115.0,16905,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,1350,GasA,Gd,Y,SBrkr,1328,0,1,1,1,2,1,TA,Typ,2,Gd,Attchd,RFn,1,TA,TA,P,0,104,0,0,0,0,,,,0,7,WD,Normal,170000,48
85,RL,,9180,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,840,GasA,Gd,Y,SBrkr,884,1,0,1,0,2,1,Gd,Typ,0,,Attchd,RFn,2,TA,Gd,Y,240,0,0,0,0,0,,MnPrv,,0,12,WD,Normal,144000,24
20,RL,,9200,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1980,Hip,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,938,GasA,TA,Y,SBrkr,938,1,0,1,0,3,1,TA,Typ,0,,Detchd,Unf,1,TA,TA,Y,145,0,0,0,0,0,,MnPrv,,0,7,WD,Normal,130250,33
20,RL,70.0,7945,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,BrkFace,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,1150,GasA,Ex,Y,FuseA,1150,1,0,1,0,3,1,TA,Typ,0,,Attchd,RFn,1,TA,TA,Y,0,0,0,0,0,0,,,,0,5,WD,Normal,141000,47
120,RL,61.0,7658,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1752,GasA,Ex,Y,SBrkr,1752,1,0,2,0,2,1,Ex,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,196,82,0,0,0,0,,,,0,2,WD,Normal,319900,5
50,RL,48.0,12822,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1434,GasA,Ex,Y,SBrkr,2149,1,0,1,1,1,1,Gd,Typ,1,Ex,Attchd,RFn,2,TA,TA,Y,168,43,0,0,198,0,,,,0,8,WD,Abnorml,239686,6
20,FV,84.0,11096,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1656,GasA,Ex,Y,SBrkr,1656,0,0,2,0,3,1,Gd,Typ,0,,Attchd,RFn,3,TA,TA,Y,0,146,0,0,0,0,,,,0,7,WD,Normal,249700,1
190,RM,33.0,4456,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,2008,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,736,GasA,Gd,Y,SBrkr,1452,0,0,2,0,2,3,TA,Typ,0,,,,0,,,N,0,0,102,0,0,0,,,,0,6,New,Partial,113000,89
20,RL,66.0,7742,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,955,GasA,Ex,Y,SBrkr,955,1,0,1,0,3,1,TA,Typ,0,,Attchd,Unf,1,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,1,WD,Normal,127000,41
60,RL,,13869,Pave,,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,794,GasA,Gd,Y,SBrkr,1470,0,1,2,0,3,1,TA,Typ,0,,Attchd,Fin,2,TA,TA,Y,0,75,0,0,0,0,,,,0,7,WD,Normal,177000,10
50,RM,52.0,6240,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,816,GasA,TA,Y,SBrkr,1176,0,0,1,0,3,1,TA,Typ,1,Gd,Detchd,Unf,2,TA,TA,Y,112,0,0,0,0,0,,MnPrv,Shed,400,9,WD,Normal,114500,72
90,RM,110.0,8472,Grvl,,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,GLQ,816,GasA,TA,N,SBrkr,816,1,0,1,0,2,1,TA,Typ,0,,CarPort,Unf,2,TA,TA,Y,106,0,0,0,0,0,,,,0,5,WD,Normal,110000,47
20,RL,68.0,50271,Pave,,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,1987,Gable,WdShngl,WdShing,Wd Shng,,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,Unf,1842,GasA,Gd,Y,SBrkr,1842,2,0,0,1,0,1,Gd,Typ,1,Gd,Attchd,Fin,3,TA,TA,Y,857,72,0,0,0,0,,,,0,11,WD,Normal,385000,25
80,RL,60.0,7134,Pave,,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,384,GasA,TA,Y,SBrkr,1360,0,0,1,0,3,1,TA,Min1,1,TA,Detchd,Unf,2,TA,TA,Y,0,50,0,0,0,0,,MnPrv,,0,2,WD,Normal,130000,52
20,RL,100.0,10175,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,1425,GasA,Gd,Y,SBrkr,1425,0,0,2,0,3,1,TA,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,0,0,0,407,0,0,,,,0,7,WD,Normal,180500,44
160,FV,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,970,GasA,Ex,Y,SBrkr,1739,1,0,2,1,3,1,Gd,Typ,0,,Attchd,Fin,2,TA,TA,Y,115,0,0,0,0,0,,,,0,8,WD,Abnorml,172500,10
60,RL,89.0,11645,Pave,,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,860,GasA,Ex,Y,SBrkr,1720,0,0,2,1,3,1,Gd,Typ,0,,Attchd,RFn,2,TA,TA,Y,0,70,0,0,0,0,,,,0,8,WD,Normal,196500,2
